width_mm,height_mm,depth_mm,mount_panel,din_inclined,cable_entries,breakers_le63,load_switches,contactors,rcd,freq_converters,soft_starters,power_supplies,phase_relays,relays,fans,thermostats,fuse_holders,signal_lamps,analog_4_20mA,interfaces_count,terminals,ip_rating,plc_type,hmi_type,baseline_hours,actual_hours
2000,800,600,1,0,12,8,0,3,2,3,1,1,1,5,2,1,2,5,8,2,59,IP54,Компактный ПЛК,Нет,21.63,23.46
800,600,300,1,0,15,11,0,3,1,6,0,1,0,1,1,1,5,3,6,3,73,IP65,Модульный ПЛК,Нет,22.9,23.06
800,800,300,1,0,7,5,0,3,2,0,0,1,1,4,0,0,5,2,0,2,43,IP65,Релейное,Нет,10.04,9.68
400,300,200,1,1,6,6,0,1,2,1,0,1,0,3,0,0,1,3,5,1,58,IP54,Релейное,"До 7""",14.3,14.6
800,600,300,1,1,9,4,0,3,2,0,0,1,0,1,1,1,7,0,4,1,46,IP54,Релейное,"До 7""",12.42,12.61
800,600,300,1,0,12,9,1,2,1,3,0,0,0,6,0,0,4,5,7,2,69,IP54,Релейное,"До 7""",21.26,21.66
600,600,250,1,0,7,7,0,4,2,1,0,1,1,1,2,1,5,0,4,2,47,IP54,Модульный ПЛК,"До 7""",14.92,14.21
400,300,200,1,1,13,11,1,6,0,0,0,1,0,4,2,1,6,5,8,2,84,IP65,Компактный ПЛК,"До 7""",20.95,21.87
1000,800,300,1,0,10,3,1,0,2,1,0,1,1,0,1,1,1,4,8,1,27,IP54,Компактный ПЛК,Нет,12.61,13.21
800,800,300,0,0,12,10,0,6,2,1,0,1,1,6,2,1,7,3,2,2,71,IP66,Компактный ПЛК,Нет,17.5,19.13
600,600,250,1,0,5,4,0,1,2,0,0,0,1,1,1,1,3,3,0,0,28,IP54,Нет,Нет,7.17,6.95
800,800,300,1,0,4,4,1,0,0,1,0,1,0,1,0,0,0,4,1,3,21,IP65,Компактный ПЛК,"До 7""",9.33,9.2
400,300,200,1,1,8,8,0,1,0,6,0,0,0,7,0,0,2,2,0,1,53,IP21,Релейное,"До 7""",16.8,17.36
600,400,250,1,0,14,11,0,7,1,0,4,1,0,5,1,1,2,4,7,2,84,IP54,Модульный ПЛК,"До 7""",22.03,20.38
800,600,300,1,0,11,9,0,3,2,3,0,1,0,7,2,1,5,4,4,1,65,IP66,Компактный ПЛК,"До 7""",21.39,22.57
1200,1000,400,1,1,2,2,1,0,1,0,0,1,1,0,1,1,0,3,0,0,16,IP21,Нет,Нет,5.72,5.81
600,600,250,1,1,10,10,0,9,0,0,0,1,1,0,1,1,2,2,1,1,85,IP65,Модульный ПЛК,Нет,16.03,15.46
400,300,200,1,0,15,10,1,5,2,3,0,1,0,0,0,0,6,3,11,3,103,IP21,Модульный ПЛК,Нет,26.18,28.23
600,400,250,1,1,11,10,1,8,2,0,0,0,1,2,1,1,2,0,7,3,95,IP66,Компактный ПЛК,Нет,20.32,21.07
800,800,300,1,0,11,6,0,5,1,0,0,1,1,5,2,1,1,3,9,2,65,IP54,Компактный ПЛК,Нет,17.07,19.82
1000,800,300,1,0,10,5,1,1,2,3,0,1,1,2,2,1,6,4,5,1,38,IP54,Компактный ПЛК,Нет,17.01,17.55
800,600,300,1,0,11,8,1,6,1,0,0,0,0,3,0,0,0,3,10,3,101,IP54,Компактный ПЛК,Нет,19.91,20.22
600,600,250,1,0,7,8,1,2,1,1,0,1,1,1,0,0,0,2,0,0,59,IP21,Нет,Нет,11.01,10.27
600,400,250,1,1,10,10,1,7,0,0,0,1,1,1,2,1,7,2,0,3,70,IP21,Модульный ПЛК,Нет,15.54,14.5
600,600,250,1,0,4,3,1,2,1,0,1,1,1,3,0,0,5,5,1,3,31,IP65,Модульный ПЛК,"До 7""",11.41,10.34
1200,1000,400,1,1,9,9,1,5,1,0,0,1,0,8,0,0,1,4,3,2,64,IP54,Релейное,Нет,14.87,15.82
600,600,250,1,0,16,11,1,6,0,0,0,1,1,8,0,0,4,3,10,1,94,IP54,Компактный ПЛК,"Свыше 7""",22.04,23.28
800,600,300,1,0,7,7,0,2,2,3,0,1,0,1,0,0,4,1,0,0,46,IP65,Нет,"Свыше 7""",14.28,14.23
400,300,200,1,0,8,8,1,3,2,1,0,1,0,2,0,0,5,5,0,0,63,IP66,Нет,"Свыше 7""",14.38,15.73
1000,800,300,1,0,7,5,0,2,0,1,0,1,1,4,0,0,2,5,9,3,64,IP54,Релейное,"Свыше 7""",17.4,16.93
400,300,200,1,1,13,12,1,1,0,6,0,1,0,4,1,1,0,5,6,1,97,IP54,Компактный ПЛК,Нет,24.11,22.83
2000,800,600,1,1,9,8,1,2,0,4,0,1,1,8,1,1,3,0,0,3,73,IP66,Релейное,Нет,19.01,19.35
1200,1000,400,1,0,9,10,1,3,1,5,0,1,0,9,2,1,3,2,1,3,73,IP65,Модульный ПЛК,"До 7""",21.64,23.21
800,600,300,1,1,17,12,1,4,0,4,0,0,1,4,2,1,5,5,11,2,96,IP21,Компактный ПЛК,Нет,26.98,30.34
800,800,300,1,0,6,3,0,2,2,0,0,1,1,3,1,1,0,5,3,1,34,IP54,Модульный ПЛК,Нет,10.81,10.23
1200,1000,400,1,0,10,11,1,4,2,3,0,1,1,7,0,0,6,2,0,0,63,IP21,Нет,"До 7""",18.09,18.06
800,600,300,1,0,2,2,1,1,1,0,0,1,0,2,0,0,5,4,0,0,26,IP21,Нет,Нет,6.63,6.75
2000,800,600,1,1,3,6,1,1,2,0,0,1,1,4,0,0,7,5,1,1,43,IP21,Компактный ПЛК,Нет,11.22,11.17
800,600,300,1,0,8,6,1,4,1,0,0,1,1,0,2,1,2,2,6,2,58,IP54,Модульный ПЛК,"До 7""",15.57,16.01
800,800,300,1,0,9,5,0,2,2,0,0,1,1,3,0,0,6,4,11,1,74,IP65,Компактный ПЛК,Нет,17.28,18.36
1200,1000,400,1,1,8,6,0,3,0,2,0,1,0,0,0,0,7,0,4,2,60,IP66,Компактный ПЛК,"До 7""",17.97,19.35
600,600,250,1,0,8,3,1,1,2,0,0,1,0,1,2,1,0,1,9,1,41,IP65,Релейное,"Свыше 7""",13.57,13.67
600,600,250,1,0,13,13,1,8,2,0,1,1,0,6,0,0,4,3,6,2,105,IP21,Компактный ПЛК,"До 7""",22.14,20.02
800,800,300,1,0,16,12,0,5,1,3,0,1,1,0,1,1,4,4,8,3,108,IP54,Компактный ПЛК,"До 7""",26.31,26.96
800,600,300,1,0,11,10,1,8,0,0,0,1,1,10,2,1,6,4,1,2,99,IP54,Компактный ПЛК,"До 7""",19.68,19.5
2000,800,600,1,0,17,11,1,6,0,3,0,1,1,1,0,0,2,4,11,1,111,IP54,Релейное,Нет,25.91,27.1
2000,800,600,1,0,7,7,1,0,0,2,0,1,1,5,2,1,0,1,3,2,58,IP54,Модульный ПЛК,Нет,16.7,18.18
1200,1000,400,1,0,12,7,1,6,2,0,0,1,0,7,2,1,3,1,6,2,76,IP65,Модульный ПЛК,Нет,17.78,18.68
2000,800,600,1,0,13,8,1,7,2,0,0,1,1,0,1,1,4,0,4,2,65,IP66,Компактный ПЛК,Нет,15.94,17.43
1200,1000,400,1,0,8,7,1,4,2,2,0,1,1,5,2,1,4,4,0,2,56,IP21,Релейное,"Свыше 7""",17.96,19.57
800,800,300,1,0,10,4,0,4,1,0,0,1,1,4,0,0,0,5,7,3,54,IP21,Компактный ПЛК,Нет,14.55,15.02
800,600,300,1,1,8,4,0,0,1,2,0,1,1,3,1,1,1,1,2,1,30,IP65,Модульный ПЛК,Нет,13.33,16.49
600,600,250,1,0,8,4,0,3,0,0,0,1,1,1,0,0,3,1,3,2,32,IP21,Релейное,"Свыше 7""",10.39,9.72
600,600,250,1,0,11,9,1,5,1,1,0,1,1,7,0,0,5,1,1,1,67,IP21,Компактный ПЛК,"До 7""",15.73,15.75
600,600,250,1,1,6,4,1,2,1,2,0,1,1,2,1,1,0,2,3,3,39,IP21,Компактный ПЛК,Нет,15.1,14.54
800,600,300,1,0,5,5,1,0,2,0,0,1,1,1,1,1,0,3,0,0,29,IP21,Нет,"До 7""",8.27,8.43
400,300,200,1,0,14,10,1,4,1,3,0,1,0,7,1,1,6,3,9,2,72,IP54,Релейное,"До 7""",23.65,25.83
1000,800,300,1,1,9,10,1,8,1,0,0,1,0,4,2,1,1,1,0,0,69,IP54,Нет,Нет,13.62,14.07
1200,1000,400,1,1,8,6,1,1,2,1,0,0,1,0,0,0,5,0,2,1,33,IP54,Релейное,"До 7""",10.91,10.92
800,800,300,1,1,13,13,1,8,2,2,0,0,1,10,0,0,4,2,7,1,116,IP54,Компактный ПЛК,"До 7""",27.11,27.01
600,600,250,1,0,8,6,1,2,2,1,0,0,1,4,0,0,4,5,6,3,66,IP65,Релейное,"Свыше 7""",17.1,16.87
2000,800,600,1,0,11,12,0,8,2,0,0,1,1,11,2,1,4,5,0,0,116,IP66,Нет,"До 7""",20.73,21.51
1000,800,300,1,1,6,6,1,0,1,1,0,0,1,3,2,1,2,0,7,1,62,IP54,Компактный ПЛК,"До 7""",15.66,15.0
800,600,300,1,1,13,13,0,2,1,7,1,1,1,4,0,0,0,0,0,0,89,IP21,Нет,Нет,20.28,21.24
800,600,300,1,0,9,8,1,4,0,0,0,1,1,4,0,0,5,4,0,0,49,IP21,Нет,Нет,10.8,10.31
600,600,250,1,1,11,7,0,4,0,0,0,1,1,5,1,1,6,2,8,2,73,IP54,Компактный ПЛК,"До 7""",18.12,17.97
1000,800,300,1,1,10,7,1,5,1,0,2,0,1,2,2,1,6,3,6,3,78,IP54,Релейное,Нет,18.09,16.71
1200,1000,400,1,0,11,8,1,6,2,1,1,1,1,0,1,1,2,0,6,3,67,IP65,Релейное,"Свыше 7""",18.18,17.07
800,600,300,1,1,7,4,0,1,1,0,0,1,1,0,0,0,6,3,11,3,38,IP65,Модульный ПЛК,Нет,14.46,16.07
2000,800,600,1,0,8,7,0,1,1,2,0,1,0,5,2,1,0,2,9,1,63,IP65,Модульный ПЛК,Нет,19.58,25.49
1000,800,300,0,0,12,10,0,7,1,0,0,1,1,0,0,0,5,3,0,1,63,IP54,Релейное,"До 7""",13.32,13.09
800,800,300,1,0,8,10,0,6,1,0,0,1,0,7,0,0,7,0,0,0,98,IP66,Нет,Нет,15.37,14.26
600,400,250,1,0,6,4,1,2,1,2,0,1,1,4,2,1,0,2,5,1,50,IP21,Модульный ПЛК,Нет,16.78,19.84
2000,800,600,1,0,6,5,0,2,1,1,0,1,1,2,0,0,2,1,7,2,48,IP66,Компактный ПЛК,Нет,14.01,14.65
600,600,250,1,1,14,10,0,7,2,0,6,1,1,1,2,1,2,3,9,3,93,IP54,Компактный ПЛК,Нет,23.6,24.43
800,800,300,1,0,9,7,0,2,0,1,0,1,0,2,0,0,1,3,5,3,53,IP54,Компактный ПЛК,Нет,13.71,14.88
800,800,300,1,0,8,5,0,2,2,3,0,1,0,6,0,0,2,2,7,1,67,IP65,Релейное,"До 7""",19.36,18.41
2000,800,600,1,0,2,2,0,1,1,0,0,1,1,0,2,1,7,4,0,0,16,IP54,Нет,"До 7""",7.15,7.12
800,600,300,1,1,10,9,0,6,0,0,0,1,0,4,0,0,4,2,5,2,68,IP21,Релейное,"До 7""",16.05,15.73
400,300,200,1,0,11,9,1,7,2,0,0,1,0,3,1,1,4,2,1,3,83,IP54,Модульный ПЛК,"До 7""",17.32,15.25
800,600,300,1,0,17,12,0,3,0,5,0,1,1,3,0,0,5,2,9,3,96,IP21,Релейное,Нет,24.74,26.78
1000,800,300,1,0,10,11,0,7,0,1,4,1,0,7,1,1,2,0,0,0,110,IP66,Нет,"До 7""",20.2,19.19
2000,800,600,1,0,7,6,0,1,0,3,0,1,0,4,2,1,3,3,0,1,42,IP54,Релейное,Нет,13.87,14.85
600,400,250,1,0,11,9,0,8,1,0,0,1,1,2,0,0,3,0,4,1,90,IP65,Компактный ПЛК,"Свыше 7""",17.56,18.73
1200,1000,400,1,0,14,8,1,6,2,0,0,1,1,8,0,0,7,1,11,1,80,IP65,Компактный ПЛК,Нет,19.89,20.84
600,400,250,1,0,13,5,0,4,1,0,0,0,1,5,1,1,2,4,10,2,54,IP21,Релейное,Нет,15.9,15.97
1200,1000,400,1,1,11,8,1,4,2,2,0,1,0,4,2,1,1,4,3,3,66,IP54,Релейное,Нет,19.25,19.27
800,800,300,1,0,3,2,0,1,1,0,0,1,1,2,0,0,4,3,0,0,25,IP54,Нет,Нет,6.29,6.15
1200,1000,400,1,0,9,9,0,6,2,0,0,1,1,6,0,0,5,3,0,0,73,IP54,Нет,Нет,13.44,14.05
600,400,250,1,0,11,11,0,8,0,0,0,0,1,0,2,1,4,5,0,0,65,IP65,Нет,Нет,13.3,13.83
800,800,300,1,0,15,11,0,6,1,0,0,1,1,6,1,1,5,1,8,1,108,IP54,Компактный ПЛК,"Свыше 7""",22.01,22.62
800,600,300,1,1,9,8,1,6,1,0,0,1,1,5,0,0,3,5,5,3,80,IP21,Компактный ПЛК,Нет,17.66,16.47
600,400,250,1,0,9,6,0,3,2,0,1,1,1,1,1,1,7,4,6,3,56,IP54,Компактный ПЛК,Нет,15.42,14.51
600,600,250,0,0,9,6,1,2,1,3,0,1,0,1,0,0,0,3,0,0,33,IP54,Нет,Нет,11.84,11.55
600,400,250,1,0,5,6,1,2,2,0,0,1,1,2,1,1,0,4,0,3,47,IP54,Релейное,"Свыше 7""",11.9,11.02
2000,800,600,0,1,12,12,0,8,1,0,0,0,1,1,0,0,1,5,1,1,68,IP54,Компактный ПЛК,Нет,14.41,16.37
800,600,300,1,1,11,9,0,3,0,4,0,1,1,4,2,1,1,1,6,3,88,IP65,Компактный ПЛК,Нет,22.31,21.08
800,800,300,1,1,14,9,0,6,1,1,6,1,1,8,0,0,7,1,5,2,78,IP54,Модульный ПЛК,Нет,21.51,23.0
800,800,300,1,0,10,13,0,9,1,1,0,1,0,6,1,1,5,0,0,0,95,IP65,Нет,Нет,16.96,15.89
1000,800,300,1,1,12,9,1,3,2,3,0,1,1,8,1,1,5,2,5,1,67,IP54,Компактный ПЛК,Нет,20.84,18.67
2000,800,600,1,1,5,5,0,1,2,0,0,1,0,0,1,1,6,4,0,0,32,IP65,Нет,"Свыше 7""",9.44,9.86
1000,800,300,1,1,11,9,1,1,1,3,0,1,1,7,0,0,2,3,11,2,66,IP54,Компактный ПЛК,"До 7""",23.05,23.42
800,600,300,1,1,8,5,0,2,2,0,0,1,1,2,2,1,2,5,8,3,47,IP65,Компактный ПЛК,"До 7""",15.88,17.08
2000,800,600,1,1,13,12,1,3,1,6,0,1,1,5,1,1,0,5,6,3,104,IP21,Компактный ПЛК,Нет,26.08,25.05
600,600,250,1,0,10,9,0,5,2,0,0,0,0,6,0,0,6,3,3,2,75,IP65,Модульный ПЛК,"Свыше 7""",16.93,17.19
400,300,200,1,0,10,10,1,4,2,2,0,0,0,0,0,0,0,0,1,2,49,IP54,Релейное,Нет,14.72,14.24
400,300,200,1,0,10,7,1,3,0,2,0,1,0,2,0,0,5,4,6,2,72,IP66,Компактный ПЛК,"До 7""",20.73,21.21
400,300,200,1,1,14,8,1,0,1,5,0,1,0,2,2,1,2,1,8,1,57,IP66,Компактный ПЛК,"Свыше 7""",22.18,25.61
600,400,250,1,1,13,6,1,4,0,0,0,1,0,4,0,0,5,5,10,1,87,IP54,Компактный ПЛК,Нет,18.93,18.6
400,300,200,1,0,8,8,0,0,0,5,0,1,0,6,1,1,4,5,3,2,55,IP66,Компактный ПЛК,"До 7""",19.61,20.7
1000,800,300,1,1,10,7,1,3,2,1,0,1,1,4,0,0,5,2,2,3,50,IP65,Релейное,Нет,13.73,14.38
2000,800,600,1,0,4,2,1,0,1,0,0,1,1,1,0,0,2,1,2,1,20,IP54,Модульный ПЛК,"До 7""",8.23,8.25
800,800,300,1,0,8,6,0,0,2,3,0,0,1,5,2,1,1,2,0,0,41,IP21,Нет,"Свыше 7""",14.32,14.86
800,600,300,1,1,11,11,0,8,2,0,6,1,1,6,2,1,7,3,0,0,104,IP21,Нет,"До 7""",21.28,20.3
400,300,200,1,1,8,7,0,4,1,2,2,1,0,4,2,1,4,1,0,3,43,IP65,Модульный ПЛК,Нет,16.69,18.16
600,600,250,1,1,12,11,1,8,2,0,0,1,1,8,2,1,5,0,4,1,120,IP54,Компактный ПЛК,Нет,21.37,19.83
2000,800,600,1,0,11,11,1,3,1,4,0,1,0,9,2,1,2,1,7,2,105,IP54,Компактный ПЛК,"До 7""",25.57,24.25
1000,800,300,1,1,10,8,0,5,1,0,0,1,1,5,0,0,1,3,6,1,96,IP54,Компактный ПЛК,Нет,17.86,17.09
600,400,250,1,0,10,12,0,7,0,0,0,1,0,1,0,0,4,5,0,0,83,IP54,Нет,"До 7""",14.91,13.23
800,800,300,1,1,5,6,0,1,0,1,0,1,0,3,1,1,3,0,4,2,60,IP65,Компактный ПЛК,"До 7""",14.13,16.27
1000,800,300,1,0,8,7,1,1,1,3,0,1,0,4,0,0,0,4,1,2,51,IP66,Релейное,Нет,15.82,15.66
600,600,250,1,1,11,10,0,4,1,3,0,1,1,3,1,1,2,2,5,2,60,IP54,Компактный ПЛК,"До 7""",20.41,19.27
1000,800,300,0,1,7,5,0,1,1,2,0,1,1,6,0,0,2,3,0,0,39,IP21,Нет,Нет,12.29,12.16
600,600,250,1,0,9,6,1,3,2,0,0,0,0,4,0,0,7,3,11,1,72,IP54,Компактный ПЛК,"До 7""",18.17,17.85
800,600,300,1,1,9,6,0,2,0,0,0,1,0,4,2,1,0,5,4,3,54,IP21,Компактный ПЛК,"Свыше 7""",14.8,14.47
1000,800,300,1,1,8,9,1,6,2,0,0,1,1,3,0,0,1,3,0,0,76,IP21,Нет,"До 7""",14.26,14.19
1200,1000,400,1,0,8,6,1,5,1,0,0,1,1,5,0,0,6,1,0,0,47,IP21,Нет,"Свыше 7""",11.43,10.76
600,400,250,1,0,8,11,1,7,2,0,0,1,1,2,1,1,3,5,0,0,95,IP54,Нет,Нет,15.96,16.4
600,600,250,1,1,11,4,1,3,2,1,0,1,0,0,1,1,3,3,10,1,58,IP21,Компактный ПЛК,Нет,16.78,19.12
600,400,250,1,0,2,5,0,2,0,0,0,1,1,0,1,1,6,5,0,0,31,IP54,Нет,Нет,7.92,8.27
600,400,250,1,1,6,3,1,0,2,1,0,0,0,4,0,0,1,2,6,3,34,IP54,Релейное,"Свыше 7""",12.92,13.1
600,600,250,1,1,14,8,0,7,0,0,0,1,1,7,1,1,4,1,7,1,90,IP54,Модульный ПЛК,Нет,19.23,19.98
1200,1000,400,1,0,4,2,0,1,1,0,0,1,1,1,0,0,1,5,3,2,20,IP65,Релейное,Нет,8.05,10.15
800,800,300,1,1,14,9,0,7,2,0,0,1,0,6,2,1,3,0,10,3,91,IP65,Релейное,"До 7""",21.45,20.93
600,400,250,1,0,9,6,0,4,1,2,0,1,1,1,1,1,6,0,1,3,57,IP21,Модульный ПЛК,"До 7""",17.23,18.99
800,600,300,1,0,9,6,0,4,0,0,0,1,1,1,1,1,2,3,0,0,53,IP66,Нет,"До 7""",11.52,12.12
1000,800,300,1,0,6,5,1,0,2,1,0,0,1,3,1,1,2,5,6,1,41,IP66,Модульный ПЛК,"До 7""",14.97,14.72
1200,1000,400,1,0,6,6,0,1,1,3,0,1,0,3,0,0,1,3,0,0,33,IP66,Нет,"До 7""",13.22,11.98
1200,1000,400,1,0,2,3,1,2,0,0,0,1,1,1,2,1,4,2,0,0,23,IP54,Нет,Нет,6.84,6.67
600,400,250,1,0,12,7,0,3,0,2,0,1,0,2,0,0,0,5,11,2,74,IP65,Релейное,"До 7""",21.72,22.12
1200,1000,400,1,0,9,5,0,2,1,0,0,1,0,0,0,0,6,1,9,1,59,IP65,Компактный ПЛК,Нет,14.04,22.0
600,400,250,1,1,3,4,1,1,1,0,0,1,1,1,0,0,4,4,0,1,30,IP65,Компактный ПЛК,"До 7""",9.29,8.97
800,800,300,1,0,3,4,1,0,0,1,0,0,0,2,0,0,7,0,0,1,23,IP65,Компактный ПЛК,"До 7""",8.2,8.12
800,800,300,1,0,14,11,0,7,1,1,0,1,0,6,1,1,5,1,11,2,109,IP54,Релейное,Нет,23.1,34.48
600,400,250,1,1,14,7,0,3,2,2,0,1,1,4,2,1,0,5,8,1,82,IP66,Компактный ПЛК,"До 7""",23.79,26.91
1200,1000,400,1,1,10,6,0,1,0,2,0,1,0,5,0,0,1,0,6,3,54,IP65,Компактный ПЛК,Нет,16.95,16.85
1200,1000,400,1,1,3,5,0,0,1,0,0,1,1,1,0,0,7,1,0,3,31,IP54,Компактный ПЛК,"До 7""",9.28,9.29
2000,800,600,1,0,10,13,1,7,0,3,0,1,1,4,0,0,2,4,0,0,103,IP66,Нет,"До 7""",22.02,22.46
600,400,250,1,0,7,2,0,0,1,0,0,1,1,1,0,0,2,3,7,3,24,IP65,Модульный ПЛК,"Свыше 7""",11.77,11.72
400,300,200,1,1,9,5,1,0,2,0,0,1,0,1,2,1,2,1,8,2,55,IP65,Компактный ПЛК,"До 7""",15.1,16.22
800,600,300,1,0,9,10,0,7,0,1,0,0,1,2,0,0,7,1,0,0,86,IP54,Нет,"До 7""",15.23,15.01
600,400,250,1,0,14,10,0,3,1,6,0,1,1,6,2,1,6,3,8,1,70,IP54,Компактный ПЛК,Нет,23.49,22.3
1000,800,300,1,0,8,6,1,6,1,0,0,1,1,4,1,1,3,4,3,2,51,IP66,Компактный ПЛК,Нет,14.35,15.62
600,600,250,1,0,10,8,1,4,2,0,0,0,1,1,0,0,3,1,3,1,60,IP65,Компактный ПЛК,"Свыше 7""",14.02,14.67
400,300,200,1,0,9,9,1,1,2,4,0,0,0,2,0,0,5,2,0,3,46,IP65,Модульный ПЛК,"Свыше 7""",17.1,19.46
800,600,300,1,0,11,9,1,0,1,7,0,1,0,7,2,1,2,5,3,3,64,IP54,Компактный ПЛК,"До 7""",21.87,21.44
400,300,200,1,0,12,10,0,9,0,0,0,1,0,9,1,1,0,4,1,2,109,IP21,Модульный ПЛК,"До 7""",19.82,18.22
1200,1000,400,1,0,11,11,0,9,2,0,0,0,0,5,0,0,0,4,2,2,100,IP65,Компактный ПЛК,Нет,17.79,17.78
800,800,300,1,0,11,11,0,7,1,0,0,1,0,6,1,1,3,4,2,1,102,IP66,Компактный ПЛК,Нет,18.71,18.82
400,300,200,1,0,7,5,0,0,1,1,0,0,0,1,0,0,4,0,6,1,41,IP66,Компактный ПЛК,"Свыше 7""",13.01,13.46
2000,800,600,1,0,17,12,1,1,1,7,0,1,1,3,2,1,1,1,10,2,85,IP65,Компактный ПЛК,Нет,25.41,27.79
400,300,200,1,0,15,11,0,3,0,6,0,1,0,6,0,0,1,0,10,2,79,IP65,Релейное,Нет,23.27,25.47
800,600,300,1,1,17,12,0,9,1,0,0,1,1,9,2,1,1,0,11,3,105,IP54,Компактный ПЛК,"До 7""",24.59,23.91
600,400,250,1,0,8,5,0,1,1,2,0,1,1,3,2,1,7,3,4,1,36,IP21,Компактный ПЛК,Нет,15.42,15.29
600,400,250,1,1,11,10,1,6,0,0,1,1,1,6,0,0,3,0,0,0,86,IP54,Нет,Нет,14.63,14.6
600,400,250,1,1,6,5,1,5,2,0,0,0,0,0,1,1,6,4,2,2,49,IP65,Компактный ПЛК,"До 7""",13.29,13.22
1200,1000,400,0,0,16,10,0,2,0,5,0,1,1,4,2,1,1,4,10,1,96,IP65,Модульный ПЛК,"До 7""",25.85,27.26
2000,800,600,1,0,5,6,1,3,2,0,0,1,1,1,0,0,1,2,0,0,37,IP66,Нет,Нет,8.93,9.83
800,800,300,1,0,6,5,1,2,1,2,0,1,1,2,0,0,4,0,3,3,46,IP21,Компактный ПЛК,"Свыше 7""",16.18,15.17
1200,1000,400,1,0,9,9,1,5,2,0,3,1,1,4,0,0,4,5,1,1,80,IP54,Модульный ПЛК,Нет,17.01,19.45
2000,800,600,1,0,5,5,0,2,1,0,0,0,0,4,0,0,3,1,2,3,51,IP54,Релейное,"Свыше 7""",11.53,11.94
2000,800,600,1,1,14,13,0,8,2,0,0,1,1,9,0,0,6,3,3,3,133,IP21,Релейное,"До 7""",23.3,23.76
600,600,250,1,0,11,5,0,3,0,2,0,1,1,2,0,0,2,1,9,3,61,IP54,Модульный ПЛК,"До 7""",20.0,21.56
800,800,300,1,1,7,4,1,0,2,0,0,0,0,3,1,1,6,3,7,2,51,IP65,Релейное,"Свыше 7""",14.53,14.13
600,400,250,0,0,15,11,0,8,2,2,0,1,1,11,0,0,0,5,9,1,106,IP54,Компактный ПЛК,"Свыше 7""",26.94,27.59
800,800,300,1,0,11,10,0,5,0,2,0,1,1,8,0,0,7,3,5,3,85,IP66,Релейное,Нет,22.14,21.17
2000,800,600,1,0,9,5,1,1,0,2,0,1,1,1,1,1,7,5,5,3,35,IP54,Релейное,Нет,15.98,16.85
600,400,250,1,0,15,13,0,9,2,1,0,1,1,2,0,0,5,3,7,3,94,IP65,Модульный ПЛК,"До 7""",22.73,23.25
2000,800,600,1,1,6,3,0,2,2,0,0,1,1,2,0,0,1,1,9,2,45,IP21,Компактный ПЛК,"До 7""",13.98,15.41
800,600,300,1,1,4,6,1,2,1,1,0,1,1,4,1,1,7,2,3,1,59,IP54,Релейное,Нет,13.87,12.64
600,600,250,1,1,9,4,1,1,0,0,0,1,0,3,1,1,5,0,8,1,40,IP66,Компактный ПЛК,Нет,13.34,16.18
800,800,300,1,0,10,9,1,5,0,2,0,1,1,8,0,0,4,4,0,3,84,IP66,Компактный ПЛК,Нет,20.18,20.88
600,400,250,1,1,14,13,0,5,1,5,0,1,1,2,0,0,4,0,4,2,77,IP65,Релейное,"Свыше 7""",22.43,21.25
800,600,300,1,0,7,4,1,2,0,0,1,1,1,5,2,1,2,0,0,0,42,IP21,Нет,"До 7""",10.01,9.89
2000,800,600,1,0,5,6,0,3,2,1,1,1,1,5,2,1,3,0,0,0,56,IP54,Нет,Нет,11.88,11.45
600,400,250,1,1,10,4,0,2,1,0,0,1,1,0,0,0,6,0,10,3,49,IP65,Компактный ПЛК,"До 7""",15.2,16.63
1200,1000,400,1,0,6,4,1,1,2,0,0,1,1,0,1,1,2,4,6,1,30,IP21,Модульный ПЛК,"До 7""",12.4,12.12
600,600,250,1,0,8,9,1,1,2,5,0,1,1,3,2,1,2,4,1,3,65,IP54,Компактный ПЛК,"До 7""",19.93,19.31
1000,800,300,1,1,13,12,1,10,1,0,0,1,0,6,0,0,2,3,6,3,132,IP21,Компактный ПЛК,"Свыше 7""",24.48,32.04
2000,800,600,1,1,13,10,0,6,0,4,0,1,1,1,1,1,5,2,6,3,68,IP21,Релейное,"До 7""",22.21,21.97
800,800,300,1,0,12,10,0,8,1,0,0,1,1,0,0,0,1,2,0,0,62,IP54,Нет,Нет,12.02,11.6
800,600,300,1,0,11,9,0,6,0,0,4,1,1,4,0,0,1,4,1,2,66,IP21,Компактный ПЛК,"До 7""",16.39,16.78
800,600,300,1,1,5,4,0,3,2,0,1,1,0,0,1,1,4,0,3,2,39,IP21,Компактный ПЛК,Нет,11.03,10.58
1200,1000,400,1,0,9,5,0,2,1,1,0,1,0,4,0,0,3,0,11,2,54,IP54,Модульный ПЛК,"До 7""",16.92,18.7
400,300,200,1,1,11,7,1,0,1,2,0,1,0,0,0,0,5,3,11,3,47,IP21,Компактный ПЛК,"Свыше 7""",20.39,23.2
600,400,250,1,1,13,10,0,7,2,2,0,1,1,1,2,1,3,1,3,1,70,IP21,Компактный ПЛК,"До 7""",20.5,20.0
600,600,250,1,1,10,11,1,9,2,0,0,1,0,4,2,1,1,3,0,1,86,IP65,Модульный ПЛК,Нет,17.14,17.56
1200,1000,400,1,0,16,11,1,6,2,2,0,1,1,0,2,1,1,5,10,2,97,IP54,Компактный ПЛК,"До 7""",26.27,27.29
